,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,HLS status,ASN_m3u8,ASN_childm3,ASN_ts,HOST_m3u8
TV8 Concepcion,"['""CHILE"",TV8 Concepcion']",['149.56.17.92'],['NONE'],"[['149.56.17.92'], ['149.56.17.92'], ['149.56.17.92']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('tv.portalfoxmix.club', [], ['149.56.17.92'])"
TVC,"['""ECUADOR"",TVC']",[],['NONE'],[],Error,,[],['NONE'],[],
TVO San Vicente,"['""CHILE"",TVO San Vicente']",['190.196.10.196'],{'190.196.10.196'},[['190.196.10.196']],"Whois lookup failed for 190.196.10.196. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
TVPeru Noticias,"['""PERU"",TVPeru Noticias']",['192.99.145.188'],['NONE'],"[['192.99.145.188'], ['192.99.145.188'], ['192.99.145.188']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('188.ip-192-99-145.net', [], ['192.99.145.188'])"
TecTV (Opt-1),"['""CHILE"",TecTV (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
TecTV (Opt-2),"['""CHILE"",TecTV (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
Tele 13,"['""CHILE"",Tele 13']",['200.91.40.222'],['NONE'],"[['190.211.160.18'], ['190.211.160.18'], ['190.211.160.18']]","Whois lookup failed for 200.91.40.222. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Tele Antillas 2,"['""DOMINICAN REPUBLIC"",Tele Antillas 2']",[],['NONE'],[],Error,,[],['NONE'],[],
Tele Medellin,"['""COLOMBIA"",Tele Medellin']",['151.101.194.29'],{'23.221.72.25'},"[['23.221.72.25'], ['23.221.72.25'], ['23.221.72.25'], ['23.221.72.25'], ['23.221.72.25'], ['23.221.72.25']]",NONE,no,['AS54113'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']",cant reverse lookup
TeleNord Corrientes,"['""ARGENTINA"",TeleNord Corrientes']",[],['NONE'],[],Error,,[],['NONE'],[],
Teleamazonas (No-Vid),"['""ECUADOR"",Teleamazonas (No-Vid)']",['151.101.194.29'],{'23.221.72.9'},"[['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9']]",NONE,no,['AS54113'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']",cant reverse lookup
Telecanal 28,"['""DOMINICAN REPUBLIC"",Telecanal 28']",[],['NONE'],[],Error,,[],['NONE'],[],
Telecentro 13,"['""DOMINICAN REPUBLIC"",Telecentro 13']",['107.182.239.141'],{'23.221.72.9'},"[['23.221.72.9'], ['23.221.72.9']]",NONE,no,['AS29854'],['AS20940'],"['AS20940', 'AS20940']",cant reverse lookup
Teleenvigado,"['""COLOMBIA"",Teleenvigado']",['66.240.236.25'],['NONE'],"[['66.240.236.25'], ['66.240.236.25'], ['66.240.236.25']]",NONE,no,['AS10439'],['NONE'],"['AS10439', 'AS10439', 'AS10439']","('2k8s-236-25.aspadmin.net', [], ['66.240.236.25'])"
Telefuturo 23,"['""DOMINICAN REPUBLIC"",Telefuturo 23']",[],['NONE'],[],Error,,[],['NONE'],[],
Teleislas,"['""COLOMBIA"",Teleislas']",['167.114.170.183'],{'167.114.170.183'},[['167.114.170.183']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('vbox.cehis.net', [], ['167.114.170.183'])"
Telekaribe,"['""DOMINICAN REPUBLIC"",Telekaribe']",[],['NONE'],[],Error,,[],['NONE'],[],
Telemax,"['""ARGENTINA"",Telemax']",['200.115.193.177'],{'200.115.193.177'},"[['200.115.193.177'], ['200.115.193.177'], ['200.115.193.177']]","Whois lookup failed for 200.115.193.177. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Telemicro 5 (Opt-1),"['""DOMINICAN REPUBLIC"",Telemicro 5 (Opt-1)']",['107.182.239.141'],{'23.221.72.9'},"[['23.221.72.9'], ['23.221.72.9']]",NONE,no,['AS29854'],['AS20940'],"['AS20940', 'AS20940']",cant reverse lookup
Telemicro 5 (Opt-2),"['""DOMINICAN REPUBLIC"",Telemicro 5 (Opt-2)']",['107.182.239.141'],{'23.221.72.9'},"[['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9']]",NONE,no,['AS29854'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']",cant reverse lookup
Telemilenio Canal 50,"['""DOMINICAN REPUBLIC"",Telemilenio Canal 50']",[],['NONE'],[],Error,,[],['NONE'],[],
Telenord 10 (Opt-1),"['""DOMINICAN REPUBLIC"",Telenord 10 (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
Telenord 10 (Opt-2),"['""DOMINICAN REPUBLIC"",Telenord 10 (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
Telenord 12 (Opt-1),"['""DOMINICAN REPUBLIC"",Telenord 12 (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
Telenord 12 (Opt-2),"['""DOMINICAN REPUBLIC"",Telenord 12 (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
Telenord 8 (Opt-1),"['""DOMINICAN REPUBLIC"",Telenord 8 (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
Telenord 8 (Opt-2),"['""DOMINICAN REPUBLIC"",Telenord 8 (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
Teleradio America 45,"['""DOMINICAN REPUBLIC"",Teleradio America 45']",[],['NONE'],[],Error,,[],['NONE'],[],
Telered,"['""COSTA RICA"",Telered']",['68.235.48.51'],{'68.235.48.51'},[['68.235.48.51']],NONE,no,['AS11878'],['AS11878'],['AS11878'],"('static-68-235-48-51.cust.tzulo.com', [], ['68.235.48.51'])"
Telesistema 11,"['""DOMINICAN REPUBLIC"",Telesistema 11']",[],['NONE'],[],Error,,[],['NONE'],[],
Telesur,"['""COSTA RICA"",Telesur']",[],['NONE'],[],Error,,[],['NONE'],[],
Teleuniverso 29,"['""DOMINICAN REPUBLIC"",Teleuniverso 29']",[],['NONE'],[],Error,,[],['NONE'],[],
Telever Canal 12,"['""DOMINICAN REPUBLIC"",Telever Canal 12']",[],['NONE'],[],Error,,[],['NONE'],[],
Television Regional de Chile (Opt-1),"['""CHILE"",Television Regional de Chile (Opt-1)']",['190.196.10.206'],{'190.196.10.206'},"[['190.196.10.206'], ['190.196.10.206'], ['190.196.10.206']]","Whois lookup failed for 190.196.10.206. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Television Regional de Chile (Opt-2),"['""CHILE"",Television Regional de Chile (Opt-2)']",['162.144.118.1'],['NONE'],"[['162.144.118.1'], ['162.144.118.1'], ['162.144.118.1']]",NONE,no,['AS46606'],['NONE'],"['AS46606', 'AS46606', 'AS46606']","('162-144-118-1.unifiedlayer.com', [], ['162.144.118.1'])"
Television del Este,"['""DOMINICAN REPUBLIC"",Television del Este']",[],['NONE'],[],Error,,[],['NONE'],[],
Televisora Regional Unimar,"['""ARGENTINA"",Televisora Regional Unimar']",['66.70.179.145'],{'66.70.179.145'},[['66.70.179.145']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('ns548900.ip-66-70-179.net', [], ['66.70.179.145'])"
Telpin Teve Pinamar,"['""ARGENTINA"",Telpin Teve Pinamar']",[],['NONE'],[],Error,,[],['NONE'],[],
Temuco TV,"['""CHILE"",Temuco TV']",['138.117.149.80'],{'138.117.149.80'},[['138.117.149.80']],"Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Tendencias TV,"['""CHILE"",Tendencias TV']",['138.117.149.80'],['NONE'],[],"Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",,['NONE'],['NONE'],['NONE'],
TicaVision,"['""COSTA RICA"",TicaVision']",[],['NONE'],[],Error,,[],['NONE'],[],
Top Latino TV,"['""PERU"",Top Latino TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Trailer TV,"['""CHILE"",Trailer TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Trailer TV Kids,"['""CHILE"",Trailer TV Kids']",[],['NONE'],[],Error,,[],['NONE'],[],
Turbo Mix Radio TV,"['""PERU"",Turbo Mix Radio TV']",[],['NONE'],[],Error,,[],['NONE'],[],
UATV,"['""CHILE"",UATV']",['138.117.149.80'],{'138.117.149.80'},[['138.117.149.80']],"Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
UCSG (Opt-1),"['""ECUADOR"",UCSG (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
UCSG (Opt-2),"['""ECUADOR"",UCSG (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
UESTV Los Lagos,"['""CHILE"",UESTV Los Lagos']",['45.226.169.29'],{'45.226.169.29'},[['45.226.169.29']],"Whois lookup failed for 45.226.169.29. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
UTV San Clemente,"['""CHILE"",UTV San Clemente']",['138.117.149.80'],{'138.117.149.80'},[['138.117.149.80']],NONE,no,['AS265831'],['AS265831'],['AS265831'],"('host80.138.117.149.static.wirenetchile.com', [], ['138.117.149.80'])"
Ultra TV Aguascalientes,"['""MEXICO"",Ultra TV Aguascalientes']",['63.251.19.8'],{'63.251.19.8'},"[['63.251.19.8', '63.251.19.9'], ['63.251.19.8'], ['63.251.19.8'], ['63.251.19.8']]",NONE,no,['AS13789'],['AS13789'],"['AS13789', 'AS13789', 'AS13789', 'AS13789']","('cdce.nym011.internap.com', [], ['63.251.19.8'])"
UniRioTV (New!),"['""ARGENTINA"",UniRioTV (New!)']",['108.61.13.218'],['NONE'],"[['108.61.13.218'], ['108.61.13.218'], ['108.61.13.218']]",NONE,no,['AS20473'],['NONE'],"['AS20473', 'AS20473', 'AS20473']","('108.61.13.218.choopa.com', [], ['108.61.13.218'])"
Unicanal,"['""PARAGUAY"",Unicanal']",[],['NONE'],[],Error,,[],['NONE'],[],
VC Online Santiago,"['""CHILE"",VC Online Santiago']",['149.56.17.92'],['NONE'],"[['149.56.17.92'], ['149.56.17.92'], ['149.56.17.92']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('tv.portalfoxmix.club', [], ['149.56.17.92'])"
VTV Aconcagua (Opt-1),"['""CHILE"",VTV Aconcagua (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
VTV Aconcagua (Opt-2),"['""CHILE"",VTV Aconcagua (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
VTV Viña del Mar,"['""CHILE"",VTV Viña del Mar']",[],['NONE'],[],Error,,[],['NONE'],[],
Vision Noticias,"['""PERU"",Vision Noticias']",[],['NONE'],[],Error,,[],['NONE'],[],
